model,slug,field,notes,current_placeholder,new_copy
servicecluster,ai-machine-learning,blurb,max 200 chars,"[TODO] AI & Machine Learning services, built for production.","Agents, retrieval systems, and vision models — built to run against real users and real data, not stay in a notebook."
servicecluster,product-engineering,blurb,max 200 chars,"[TODO] Product Engineering services, built for production.","Full-stack software, cloud infrastructure, and platform engineering for teams who need something built and shipped, not just prototyped."
servicecluster,growth,blurb,max 200 chars,"[TODO] Growth services, built for production.","Search and marketing systems that get AI-built products found and adopted after launch, not just live."
industry,igaming-sweepstakes,blurb,max 250 chars,[TODO] How AI changes igaming & sweepstakes.,"Real-time fraud detection, KYC automation, and support systems built to hold up under regulatory scrutiny and high transaction volume."
industry,e-commerce-retail,blurb,max 250 chars,[TODO] How AI changes e-commerce & retail.,"Search, catalogue, and forecasting systems that turn product data into revenue instead of manual catalogue work."
industry,fintech,blurb,max 250 chars,[TODO] How AI changes fintech.,"Document processing, transaction monitoring, and compliance tooling built to the accuracy and audit standards regulated finance requires."
industry,healthcare,blurb,max 250 chars,[TODO] How AI changes healthcare.,Clinical document processing and knowledge retrieval that saves clinician time without touching diagnostic decisions.
industry,logistics-supply-chain,blurb,max 250 chars,[TODO] How AI changes logistics & supply chain.,"Route optimisation, exception handling, and warehouse vision systems that keep freight moving without manual triage."
industry,saas-startups,blurb,max 250 chars,[TODO] How AI changes saas & startups.,"AI features, internal tooling, and retrieval systems that ship inside your existing product instead of bolting on a chatbot."
service,ai-agents-automation,tagline,"max 160 chars, one line for nav dropdown","Autonomous agents that do real work, not demos","Agents that complete tasks, not just answer questions."
service,ai-agents-automation,summary,"card/listing text, 1-3 sentences",[TODO] AI Agents & Automation summary for cards and listings.,"We design and build AI agents that take real actions inside your systems — triaging tickets, processing documents, running multi-step workflows — with the guardrails and observability production use requires."
service,ai-agents-automation,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for AI Agents & Automation.</p>,"Most agent projects stall between a convincing demo and a system your team can actually depend on. We build the second one: agents scoped to a specific workflow, with explicit tool access, error handling, and human escalation paths built in from the start rather than bolted on after something breaks.

Typical engagements cover workflow design, agent architecture (LangChain/LangGraph or a custom orchestration layer where that fits better), integration with your existing systems, and the monitoring needed to know when an agent is behaving as intended and when it isn't."
service,rag-knowledge-systems,tagline,"max 160 chars, one line for nav dropdown",Retrieval systems your team actually trusts,"Retrieval systems that answer from your data, not the model's memory."
service,rag-knowledge-systems,summary,"card/listing text, 1-3 sentences",[TODO] RAG & Knowledge Systems summary for cards and listings.,"We build retrieval-augmented systems that ground LLM output in your actual documents, knowledge bases, and internal data — so answers are traceable back to a source instead of plausible-sounding guesses."
service,rag-knowledge-systems,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for RAG & Knowledge Systems.</p>,"RAG done well is mostly a data and retrieval problem, not a prompting problem. We spend the early part of every engagement on chunking strategy, embedding choice, and retrieval evaluation before we touch the generation layer — that's usually where accuracy is won or lost.

We build these on your existing document stores where possible, and design for the update problem from day one: knowledge that changes needs a retrieval system that stays current without a manual re-index every time."
service,llm-application-development,tagline,"max 160 chars, one line for nav dropdown","Production apps on OpenAI, Anthropic, and open models","Product features built on LLMs, not demos wrapped around them."
service,llm-application-development,summary,"card/listing text, 1-3 sentences",[TODO] LLM Application Development summary for cards and listings.,"We build LLM-powered features into real products — with the prompt engineering, evaluation, cost control, and fallback handling that separates a shipped feature from a prototype."
